run_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created
SRR23716722	SRP425920	SAMN33598348	SRS16961069	SRX19577986	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082427		SINGLE	OTHER	GENOMIC	other	75061	18756960		2023-04-09	2023-04-13	Illumina MiSeq sequencing: GSM7082427: severe group 13 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082427_r1	GSM7082427_r1	1354252	82c02b86f0718c0103ff613f508e96b2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/022/SRR23716722/SRR23716722.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/022/SRR23716722/SRR23716722.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/022/SRR23716722/SRR23716722.fastq.gz							4716186	ce92cfa2361db237779dfcf0fb27f0a7	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/022/SRR23716722	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/022/SRR23716722	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/022/SRR23716722	GSM7082427		severe group 13		2023-04-09
SRR23716726	SRP425920	SAMN33598350	SRS16961065	SRX19577982	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082425		SINGLE	OTHER	GENOMIC	other	75051	18753380		2023-04-09	2023-04-14	Illumina MiSeq sequencing: GSM7082425: severe group 11 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082425_r1	GSM7082425_r1	1424401	7040585a16ee4034ccdc34049259083a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/026/SRR23716726/SRR23716726.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/026/SRR23716726/SRR23716726.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/026/SRR23716726/SRR23716726.fastq.gz							4570865	f16b20ff89fb3cc339bd4068979e50de	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/026/SRR23716726	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/026/SRR23716726	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/026/SRR23716726	GSM7082425		severe group 11		2023-04-09
SRR23716729	SRP425920	SAMN33598353	SRS16961062	SRX19577979	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082422		SINGLE	OTHER	GENOMIC	other	75055	18744850		2023-04-09	2023-04-11	Illumina MiSeq sequencing: GSM7082422: severe group 8 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082422_r1	GSM7082422_r1	1472727	b3622239068b14133218f9373d23304b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/029/SRR23716729/SRR23716729.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/029/SRR23716729/SRR23716729.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/029/SRR23716729/SRR23716729.fastq.gz							4783501	c6f084408dcebaaaf80c571cb3742005	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/029/SRR23716729	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/029/SRR23716729	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/029/SRR23716729	GSM7082422		severe group 8		2023-04-09
SRR23716730	SRP425920	SAMN33598354	SRS16961061	SRX19577978	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082421		SINGLE	OTHER	GENOMIC	other	75048	18745990		2023-04-09	2023-04-13	Illumina MiSeq sequencing: GSM7082421: severe group 7 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082421_r1	GSM7082421_r1	1876495	b14b3dd4b7a210b8e57bc09b2cd1fe92	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/030/SRR23716730/SRR23716730.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/030/SRR23716730/SRR23716730.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/030/SRR23716730/SRR23716730.fastq.gz							4802225	09a0c0a7142b9e637e380037f9805cc4	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/030/SRR23716730	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/030/SRR23716730	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/030/SRR23716730	GSM7082421		severe group 7		2023-04-09
SRR23716735	SRP425920	SAMN33598342	SRS16961056	SRX19577973	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082433		SINGLE	OTHER	GENOMIC	other	150098	37500400		2023-04-09	2023-04-11	Illumina MiSeq sequencing: GSM7082433: severe group 19 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082433_r1	GSM7082433_r1	3103601	a106a12699d6d675f3780ea020f6b010	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/035/SRR23716735/SRR23716735.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/035/SRR23716735/SRR23716735.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/035/SRR23716735/SRR23716735.fastq.gz							9493145	cd34b918a7e6cf12b92b61a3f10f1418	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/035/SRR23716735	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/035/SRR23716735	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/035/SRR23716735	GSM7082433		severe group 19		2023-04-09
SRR23716739	SRP425920	SAMN33598358	SRS16961052	SRX19577969	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082417		SINGLE	OTHER	GENOMIC	other	75063	18743400		2023-04-09	2023-04-14	Illumina MiSeq sequencing: GSM7082417: severe group 3 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082417_r1	GSM7082417_r1	1152307	d0c2e3b746e459f4170e2438ca2ae85d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/039/SRR23716739/SRR23716739.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/039/SRR23716739/SRR23716739.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/039/SRR23716739/SRR23716739.fastq.gz							4703423	37d7406a237ade94ce2245d80b20cc1d	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/039/SRR23716739	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/039/SRR23716739	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/039/SRR23716739	GSM7082417		severe group 3		2023-04-09
SRR23716741	SRP425920	SAMN33598361	SRS16961051	SRX19577967	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082414		SINGLE	OTHER	GENOMIC	other	75042	18751310		2023-04-09	2023-04-14	Illumina MiSeq sequencing: GSM7082414: mild group 17 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082414_r1	GSM7082414_r1	1728620	cd085c904ea894751ff8767aa240cf7b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/041/SRR23716741/SRR23716741.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/041/SRR23716741/SRR23716741.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/041/SRR23716741/SRR23716741.fastq.gz							4731170	c376ef5cabb083633709a2f80862d996	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/041/SRR23716741	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/041/SRR23716741	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/041/SRR23716741	GSM7082414		mild group 17		2023-04-09
SRR23716743	SRP425920	SAMN33598362	SRS16961048	SRX19577965	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082413		SINGLE	OTHER	GENOMIC	other	75053	18752860		2023-04-09	2023-04-14	Illumina MiSeq sequencing: GSM7082413: mild group 16 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082413_r1	GSM7082413_r1	1237237	65db93b015469f4772286a856280e779	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/043/SRR23716743/SRR23716743.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/043/SRR23716743/SRR23716743.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/043/SRR23716743/SRR23716743.fastq.gz							4164299	9483953ec6efea1c7fe6ddfda4f33990	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/043/SRR23716743	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/043/SRR23716743	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/043/SRR23716743	GSM7082413		mild group 16		2023-04-09
SRR23716747	SRP425920	SAMN33598368	SRS16961044	SRX19577961	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082407		SINGLE	OTHER	GENOMIC	other	75058	18752530		2023-04-09	2023-04-13	Illumina MiSeq sequencing: GSM7082407: mild group 10 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082407_r1	GSM7082407_r1	1353819	4be4cdf95121cf44a83e76163dd8f0c5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/047/SRR23716747/SRR23716747.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/047/SRR23716747/SRR23716747.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/047/SRR23716747/SRR23716747.fastq.gz							4777013	6ff286cf33f2506b9bbb6af125b118af	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/047/SRR23716747	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/047/SRR23716747	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/047/SRR23716747	GSM7082407		mild group 10		2023-04-09
SRR23716748	SRP425920	SAMN33598367	SRS16961042	SRX19577960	PRJNA941264	SRA1600316	749906	gut metagenome	ILLUMINA	Illumina MiSeq	GSM7082408		SINGLE	OTHER	GENOMIC	other	75051	18752830		2023-04-09	2023-04-14	Illumina MiSeq sequencing: GSM7082408: mild group 11 gut metagenome OTHER	Interaction between the microbiome and the severity of diversion colitis after low anterior resection of rectal cancer	GSE226706	GSM7082408_r1	GSM7082408_r1	1200236	9a51acd6da263391c0b66d37246d0b56	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/048/SRR23716748/SRR23716748.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR237/048/SRR23716748/SRR23716748.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR237/048/SRR23716748/SRR23716748.fastq.gz							4582323	708d0bfacbacf23d7566012ee8679985	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/048/SRR23716748	fasp.sra.ebi.ac.uk:/vol1/srr/SRR237/048/SRR23716748	ftp.sra.ebi.ac.uk/vol1/srr/SRR237/048/SRR23716748	GSM7082408		mild group 11		2023-04-09
