broker_name	center_name	PRIMARY_ID	EXTERNAL_ID	SUBMITTER_ID	TITLE	TAXON_ID	SCIENTIFIC_NAME	ENA-FASTQ-FILES	ENA-SUBMITTED-FILES	INSDC secondary accession	NCBI submission package	organism	tissue	source_name	group	BioSampleModel	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
NCBI	Naval Medical University	SAMN33598348	SAMN33598348	GSM7082427	severe group 13	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961069&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961069&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961069	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	severe	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598350	SAMN33598350	GSM7082425	severe group 11	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961065&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961065&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961065	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	severe	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598353	SAMN33598353	GSM7082422	severe group 8	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961062&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961062&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961062	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	severe	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598354	SAMN33598354	GSM7082421	severe group 7	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961061&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961061&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961061	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	severe	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598342	SAMN33598342	GSM7082433	severe group 19	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961056&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961056&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961056	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	severe	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598358	SAMN33598358	GSM7082417	severe group 3	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961052&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961052&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961052	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	severe	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598361	SAMN33598361	GSM7082414	mild group 17	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961051&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961051&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961051	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	Ctrl	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598362	SAMN33598362	GSM7082413	mild group 16	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961048&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961048&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961048	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	Ctrl	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598368	SAMN33598368	GSM7082407	mild group 10	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961044&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961044&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961044	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	Ctrl	Generic	2023-04-04	2023-04-04
NCBI	Naval Medical University	SAMN33598367	SAMN33598367	GSM7082408	mild group 11	749906	gut metagenome	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961042&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=SRS16961042&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	SRS16961042	Generic.1.0	gut metagenome	intestinal lavage fluid	intestinal lavage fluid	Ctrl	Generic	2023-04-04	2023-04-04
